tweet_id,favorites_count,retweets_count
826204788643753985,4928,935
826115272272650244,15818,3171
825876512159186944,10582,1896
825829644528148480,12861,2519
825535076884762624,57390,17728
825147591692263424,18512,4593
825120256414846976,0,1277
825026590719483904,6378,1277
824796380199809024,0,5560
824775126675836928,15096,3565
824663926340194305,10637,1792
824325613288833024,11961,10643
824297048279236611,15238,3918
824025158776213504,4873,605
823939628516474880,10745,2743
823719002937630720,0,11345
823699002998870016,14168,2552
823581115634085888,13181,2660
823333489516937216,705,25
823322678127919110,15908,4087
823269594223824897,0,10026
822975315408461824,17513,3500
822872901745569793,133117,43856
822859134160621569,13437,2316
822647212903690241,0,6500
822610361945911296,15000,2998
822489057087389700,18386,6500
822462944365645825,28393,14528
822244816520155136,35405,10026
822163064745328640,0,4848
821886076407029760,11472,2351
821813639212650496,0,3402
821765923262631936,8521,1678
821522889702862852,8140,1794
821421320206483457,0,5680
821407182352777218,11930,4412
821153421864615936,258,10
821149554670182400,8759,2023
821107785811234820,9728,2166
821044531881721856,12826,2316
820837357901512704,0,6841
820749716845686786,31995,10054
820690176645140481,12372,3283
820494788566847489,0,572
820446719150292993,0,2607
820314633777061888,3391,572
820078625395449857,20096,6397
820013781606658049,0,1195
819952236453363712,5410,1195
819924195358416896,13076,4945
819711362133872643,13588,3169
819588359383371776,9770,2020
819347104292290561,7321,1227
819238181065359361,2301,412
819227688460238848,23416,6841
819015337530290176,0,37436
819015331746349057,0,19258
819006400881917954,45920,19258
819004803107983360,88108,37436
818646164899774465,0,21367
818627210458333184,22753,7664
818614493328580609,9995,2610
818588835076603904,0,6260
818536468981415936,11063,2504
818307523543449600,0,8240
818259473185828864,11190,2309
818145370475810820,12493,2616
817908911860748288,4937,818
817827839487737858,52476,27535
817777686764523521,10913,2740
817536400337801217,11955,3020
817502432452313088,0,3454
817423860136083457,34409,14990
817415592588222464,5697,970
817181837579653120,0,8615
817171292965273600,8912,2060
817120970343411712,12400,2649
817056546584727552,8728,1676
816829038950027264,0,4796
816816676327063552,10191,2077
816697700272001025,9966,2236
816450570814898180,30980,8240
816336735214911488,8746,1980
816091915477250048,9079,2184
816062466425819140,0,1042
816014286006976512,0,5381
815990720817401858,5040,1042
815966073409433600,22784,8615
815745968457060357,0,4215
815736392542261248,10022,2313
815639385530101762,8365,1680
815390420867969024,10541,3879
814986499976527872,7780,1300
814638523311648768,11464,2753
814578408554463233,0,5950
814530161257443328,8812,1904
814153002265309185,29283,8856
813944609378369540,0,3246
813910438903693312,9458,1905
813812741911748608,37058,14259
813800681631023104,8472,1801
813217897535406080,18986,7442
813202720496779264,9403,1843
813187593374461952,20257,4458
813172488309972993,9442,1967
813157409116065792,7915,2260
813142292504645637,8632,2433
813130366689148928,4561,457
813127251579564032,12073,3195
813112105746448384,10506,2800
813096984823349248,10758,3693
813081950185472002,10073,2832
813066809284972545,8102,1996
813051746834595840,21380,7516
812781120811126785,7719,1948
812709060537683968,6747,1464
812503143955202048,6193,1246
812466873996607488,8115,1978
812372279581671427,13921,3738
811985624773361665,7399,1432
811744202451197953,7690,1636
811647686436880384,5723,760
811627233043480576,13016,3150
811386762094317568,21345,6516
810984652412424192,5447,1468
810896069567610880,9199,1809
810657578271330305,11189,2709
810284430598270976,35985,11552
810254108431155201,15003,3446
809920764300447744,15827,4029
